generation ,engine,start_of_production,powertrain_architecture,body_type,seats,doors,acceleration_0-100km/h,maximum_speed,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,fuel_tank_capacity,length,width,height,drive_wheel,number_of_gears_and_type_of_gearbox,fuel_consumption_combined,end_of_production
"911 (997, facelift 2008)",Turbo S 3.8 (530 Hp) PDK ,2010,Internal Combustion engine ,Coupe ,4,2,3.3,315,"3 kg/Hp, 334.4 Hp/tonne ","2.3 kg/Nm, 441.6 Nm/tonne ",530 Hp @ 6250-6750 rpm. ,139.5,700 Nm @ 2100-4250 rpm.,"Front, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",11.4,2011
"911 (997, facelift 2008)",Turbo 3.8 (500 Hp) PDK ,2009,Internal Combustion engine ,Coupe ,4,2,3.4,312,"3.2 kg/Hp, 313.5 Hp/tonne ","2.5 kg/Nm, 407.5 Nm/tonne ",500 Hp @ 6000-6500 rpm. ,131.6,650 Nm @ 1950-5000 rpm.,"Front, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",11.4,2011
"911 (997, facelift 2008)",Turbo 3.8 (500 Hp) ,2009,Internal Combustion engine ,Coupe ,4,2,3.7,312,"3.1 kg/Hp, 318.5 Hp/tonne ","2.4 kg/Nm, 414 Nm/tonne ",500 Hp @ 6000-6500 rpm. ,131.6,650 Nm @ 1950-5000 rpm.,"Front, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.6,2011
"911 (997, facelift 2008)",GT3 RS 3.8 (450 Hp) ,2009,Internal Combustion engine ,Coupe ,2-Jan,2,4,310,"3 kg/Hp, 328.5 Hp/tonne ","3.2 kg/Nm, 313.9 Nm/tonne ",450 Hp @ 7900 rpm. ,118.5,430 Nm @ 6750 rpm.,"Rear, Longitudinal ",3797,6,Boxer ,67,4460,1808,1280,Rear wheel drive ,"6 gears, manual transmission ",13.2,2011
"911 (997, facelift 2008)",GT3 3.8 (435 Hp) ,2009,Internal Combustion engine ,Coupe ,,2,4.1,312,"3.2 kg/Hp, 311.8 Hp/tonne ","3.2 kg/Nm, 308.2 Nm/tonne ",435 Hp @ 7600 rpm. ,114.6,430 Nm @ 6250 rpm.,"Rear, Longitudinal ",3797,6,Boxer ,67,4460,1808,1280,Rear wheel drive ,"6 gears, manual transmission ",12.6,2011
"911 (997, facelift 2008)",GT2 RS 3.6 (620 Hp) ,2010,Internal Combustion engine ,Coupe ,2,2,3.5,330,"2.2 kg/Hp, 452.6 Hp/tonne ","2 kg/Nm, 510.9 Nm/tonne ",620 Hp @ 2250-5500 rpm. ,172.2,700 Nm,"Rear, Longitudinal ",3600,6,Boxer ,90,4469,1852,1285,Rear wheel drive ,"6 gears, manual transmission ",11.9,2012
"911 (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) PDK ,2010,Internal Combustion engine ,Coupe ,4,2,4.6,304,"3.6 kg/Hp, 281.4 Hp/tonne ","3.5 kg/Nm, 289.7 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,Rear wheel drive ,"7 gears, automatic transmission PDK ",10.2,2011
"911 (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) ,2010,Internal Combustion engine ,Coupe ,4,2,4.8,306,"3.5 kg/Hp, 287.3 Hp/tonne ","3.4 kg/Nm, 295.8 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,Rear wheel drive ,"6 gears, manual transmission ",10.6,2011
"911 (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) PDK ,2010,Internal Combustion engine ,Coupe ,4,2,4.4,300,"3.7 kg/Hp, 270.2 Hp/tonne ","3.6 kg/Nm, 278.1 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.5,2011
"911 (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) ,2010,Internal Combustion engine ,Coupe ,4,2,4.6,302,"3.6 kg/Hp, 275.7 Hp/tonne ","3.5 kg/Nm, 283.8 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11,2011
"911 (997, facelift 2008)",Carrera S 3.8 (385 Hp) PDK ,2008,Internal Combustion engine ,Coupe ,4,2,4.5,300,"3.8 kg/Hp, 264.6 Hp/tonne ","3.5 kg/Nm, 288.7 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4435,1808,1300,Rear wheel drive ,"7 gears, automatic transmission PDK ",10.2,2011
"911 (997, facelift 2008)",Carrera S 3.8 (385 Hp) ,2008,Internal Combustion engine ,Coupe ,4,2,4.7,302,"3.7 kg/Hp, 270.2 Hp/tonne ","3.4 kg/Nm, 294.7 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4435,1808,1300,Rear wheel drive ,"6 gears, manual transmission ",10.6,2011
"911 (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) PDK ,2008,Internal Combustion engine ,Coupe ,4,2,4.5,295,"3.9 kg/Hp, 255 Hp/tonne ","3.6 kg/Nm, 278.1 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission ",10.5,2011
"911 (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) ,2008,Internal Combustion engine ,Coupe ,4,2,4.7,297,"3.9 kg/Hp, 255 Hp/tonne ","3.6 kg/Nm, 278.1 Nm/tonne ",385 Hp @ 6500 rpm. ,100.7,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,64,4435,1808,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11,2011
"911 (997, facelift 2008)",Carrera 4 3.6 (345 Hp) PDK ,2008,Internal Combustion engine ,Coupe ,4,2,4.8,282,"4.3 kg/Hp, 230 Hp/tonne ","3.8 kg/Nm, 260 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.1,2011
"911 (997, facelift 2008)",Carrera 4 3.6 (345 Hp) ,2008,Internal Combustion engine ,Coupe ,4,2,5,284,"4.3 kg/Hp, 234.7 Hp/tonne ","3.8 kg/Nm, 265.3 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",10.6,2011
"911 (997, facelift 2008)",Carrera 3.6 (345 Hp) PDK ,2008,Internal Combustion engine ,Coupe ,4,2,4.7,287,"4.2 kg/Hp, 238.8 Hp/tonne ","3.7 kg/Nm, 269.9 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,6,Boxer ,64,4435,1808,1310,Rear wheel drive ,"7 gears, automatic transmission PDK ",9.8,2012
"911 (997, facelift 2008)",Carrera 3.6 (345 Hp) ,2008,Internal Combustion engine ,Coupe ,4,2,4.9,289,"4.1 kg/Hp, 243.8 Hp/tonne ","3.8 kg/Nm, 261.5 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,370 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,6,Boxer ,64,4435,1808,1310,Rear wheel drive ,"6 gears, manual transmission ",10.3,2012
911 Targa (997),Targa 4S 3.8 (355 Hp) Tiptronic S ,2006,Internal Combustion engine ,Targa ,4,2,5.4,280,"4.4 kg/Hp, 225.4 Hp/tonne ","3.9 kg/Nm, 254 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.9,2008
911 Targa (997),Targa 4S 3.8 (355 Hp) ,2006,Internal Combustion engine ,Targa ,4,2,4.9,288,"4.3 kg/Hp, 231.3 Hp/tonne ","3.8 kg/Nm, 260.6 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.8,2008
911 Targa (997),Targa 4 3.6 (325 Hp) Tiptronic S ,2006,Internal Combustion engine ,Targa ,4,2,5.8,275,"4.8 kg/Hp, 209.7 Hp/tonne ","4.2 kg/Nm, 238.7 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.6,2008
911 Targa (997),Targa 4 3.6 (325 Hp) ,2006,Internal Combustion engine ,Targa ,4,2,5.3,280,"4.6 kg/Hp, 215.2 Hp/tonne ","4.1 kg/Nm, 245 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",11.3,2008
911 Cabriolet (997),Turbo 3.6 (480 Hp) Tiptronic S ,2007,Internal Combustion engine ,Cabriolet ,4,2,3.8,310,"3.4 kg/Hp, 290 Hp/tonne ","2.7 kg/Nm, 374.6 Nm/tonne ",480 Hp @ 6000 rpm. ,133.3,620 Nm @ 1950 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,64,4427,1808,1310,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",13.7,2008
911 Cabriolet (997),Turbo 3.6 (480 Hp) ,2007,Internal Combustion engine ,Cabriolet ,4,2,4,310,"3.4 kg/Hp, 290 Hp/tonne ","2.7 kg/Nm, 374.6 Nm/tonne ",480 Hp @ 6000 rpm. ,133.3,620 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,64,4427,1808,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",12.9,2008
911 Cabriolet (997),Carrera S 3.8 (355 Hp) Tiptronic S ,2006,Internal Combustion engine ,Cabriolet ,4,2,5.4,285,"4.4 kg/Hp, 229.8 Hp/tonne ","3.9 kg/Nm, 258.9 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,64,4427,1808,1300,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.7,2008
911 Cabriolet (997),Carrera S 3.8 (355 Hp) ,2006,Internal Combustion engine ,Cabriolet ,4,2,4.9,293,"4.2 kg/Hp, 235.9 Hp/tonne ","3.8 kg/Nm, 265.8 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,64,4427,1808,1300,Rear wheel drive ,"6 gears, manual transmission ",11.6,2008
911 Cabriolet (997),Carrera 4S 3.8 (355 Hp) Tiptronic S ,2005,Internal Combustion engine ,Cabriolet ,4,2,5.4,280,"4.5 kg/Hp, 221.9 Hp/tonne ","4 kg/Nm, 250 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.9,2008
911 Cabriolet (997),Carrera 4S 3.8 (355 Hp) ,2005,Internal Combustion engine ,Cabriolet ,4,2,4.9,288,"4.4 kg/Hp, 227.6 Hp/tonne ","3.9 kg/Nm, 256.4 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.8,2008
911 Cabriolet (997),Carrera 4 3.6 (325 Hp) AWD Tiptronic S ,2005,Internal Combustion engine ,Cabriolet ,4,2,5.8,275,"4.8 kg/Hp, 206.3 Hp/tonne ","4.3 kg/Nm, 234.9 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.6,2008
911 Cabriolet (997),Carrera 4 3.6 (325 Hp) ,2005,Internal Combustion engine ,Cabriolet ,4,2,5.3,280,"4.7 kg/Hp, 211.7 Hp/tonne ","4.1 kg/Nm, 241 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",11.3,2008
911 Cabriolet (997),Carrera 3.6 (325 Hp) Tiptronic S ,2006,Internal Combustion engine ,Cabriolet ,4,2,5.7,280,"4.7 kg/Hp, 213.8 Hp/tonne ","4.1 kg/Nm, 243.4 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4427,1808,1310,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.4,2008
911 Cabriolet (997),Carrera 3.6 (325 Hp) ,2006,Internal Combustion engine ,Cabriolet ,4,2,5.2,285,"4.6 kg/Hp, 219.6 Hp/tonne ","4 kg/Nm, 250 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4427,1808,1310,Rear wheel drive ,"6 gears, manual transmission ",11.4,2008
911 (997),Turbo 3.6 (480 Hp) Tiptronic S ,2006,Internal Combustion engine ,Coupe ,4,2,3.7,310,"3.4 kg/Hp, 296.3 Hp/tonne ","2.6 kg/Nm, 382.7 Nm/tonne ",480 Hp @ 6000 rpm. ,133.3,620 Nm @ 1950 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",13.6,2009
911 (997),Turbo 3.6 (480 Hp) ,2006,Internal Combustion engine ,Coupe ,4,2,3.9,310,"3.3 kg/Hp, 302.8 Hp/tonne ","2.6 kg/Nm, 391.2 Nm/tonne ",480 Hp @ 6000 rpm. ,133.3,620 Nm @ 1950 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",12.8,2009
911 (997),GT3 RS 3.6 (415 Hp) ,2006,Internal Combustion engine ,Coupe ,2-Apr,2,4.2,310,"3.3 kg/Hp, 301.8 Hp/tonne ","3.4 kg/Nm, 294.5 Nm/tonne ",415 Hp @ 7600 rpm. ,115.3,405 Nm @ 5500 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,90,4460,1852,1280,Rear wheel drive ,"6 gears, manual transmission ",12.8,2009
911 (997),GT3 3.6 (415 Hp) ,2006,Internal Combustion engine ,Coupe ,2-Apr,2,4.3,310,"3.4 kg/Hp, 297.5 Hp/tonne ","3.4 kg/Nm, 290.3 Nm/tonne ",415 Hp @ 7600 rpm. ,115.3,405 Nm @ 5500 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,90,4445,1808,1280,Rear wheel drive ,"6 gears, manual transmission ",12.8,2009
911 (997),GT2 3.6 (530 Hp) ,2007,Internal Combustion engine ,Coupe ,2,2,3.7,329,"2.7 kg/Hp, 368.1 Hp/tonne ","2.1 kg/Nm, 472.2 Nm/tonne ",530 Hp @ 6500 rpm. ,147.2,680 Nm @ 2200-4500 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,90,4469,1852,1285,Rear wheel drive ,"6 gears, manual transmission ",12.5,2009
911 (997),Carrera S 3.8 (355 Hp) Tiptronic S ,2004,Internal Combustion engine ,Coupe ,4,2,5.3,285,"4.1 kg/Hp, 243.2 Hp/tonne ","3.7 kg/Nm, 274 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,64,4427,1808,1300,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.7,2008
911 (997),Carrera S 3.8 (355 Hp) ,2004,Internal Combustion engine ,Coupe ,4,2,4.8,293,"4 kg/Hp, 250 Hp/tonne ","3.6 kg/Nm, 281.7 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,64,4427,1808,1300,Rear wheel drive ,"6 gears, manual transmission ",11.5,2008
911 (997),Carrera 4S 3.8 (355 Hp) Tiptronic S ,2005,Internal Combustion engine ,Coupe ,4,2,5.3,280,"4.3 kg/Hp, 234.3 Hp/tonne ","3.8 kg/Nm, 264 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.9,2008
911 (997),Carrera 4S 3.8 (355 Hp) ,2005,Internal Combustion engine ,Coupe ,4,2,4.8,288,"4.2 kg/Hp, 239.9 Hp/tonne ","3.7 kg/Nm, 270.3 Nm/tonne ",355 Hp @ 6600 rpm. ,92.8,400 Nm @ 4600 rpm.,"Rear, Longitudinal ",3824,6,Boxer ,67,4427,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.8,2008
911 (997),Carrera 4 3.6 (325 Hp) Tiptronic S ,2005,Internal Combustion engine ,Coupe ,4,2,5.6,275,"4.6 kg/Hp, 218.1 Hp/tonne ","4 kg/Nm, 248.3 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.6,2008
911 (997),Carrera 4 3.6 (325 Hp) ,2005,Internal Combustion engine ,Coupe ,4,2,5.1,280,"4.5 kg/Hp, 224.1 Hp/tonne ","3.9 kg/Nm, 255.2 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,67,4427,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",11.3,2008
911 (997),Carrera 3.6 (325 Hp) Tiptronic S ,2004,Internal Combustion engine ,Coupe ,4,2,5.5,280,"4.6 kg/Hp, 215.2 Hp/tonne ","4.1 kg/Nm, 245 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4427,1808,1310,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.2,2008
911 (997),Carrera 3.6 (325 Hp) ,2004,Internal Combustion engine ,Coupe ,4,2,5,285,"4.3 kg/Hp, 233 Hp/tonne ","3.8 kg/Nm, 265.2 Nm/tonne ",325 Hp @ 6800 rpm. ,90.4,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4427,1808,1310,Rear wheel drive ,"6 gears, manual transmission ",11,2008
"911 Cabriolet (996, facelift 2001)",Turbo 3.6 (420 Hp) Tiptronic S ,2000,Internal Combustion engine ,Cabriolet ,4,2,4.9,295,,,420 Hp @ 6000 rpm. ,116.7,560 Nm @ 2700-4600 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,63,4465,1830,1295,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",,2005
"911 Cabriolet (996, facelift 2001)",Turbo 3.6 (420 Hp) ,2000,Internal Combustion engine ,Cabriolet ,4,2,4.3,305,,,420 Hp @ 6000 rpm. ,116.7,560 Nm @ 2700-4600 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,63,4465,1830,1295,All wheel drive (4x4) ,"6 gears, manual transmission ",,2005
"911 Cabriolet (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) Tiptronic S ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.9,275,"5.1 kg/Hp, 197.5 Hp/tonne ","4.4 kg/Nm, 228.4 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4435,1830,1295,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",12.2,2004
"911 Cabriolet (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.3,280,"4.9 kg/Hp, 204.5 Hp/tonne ","4.2 kg/Nm, 236.4 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4435,1830,1295,Rear wheel drive ,"6 gears, manual transmission ",11.4,2004
"911 Cabriolet (996, facelift 2001)",Carrera 4 3.6 (320 Hp) Tiptronic S ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.7,280,"4.9 kg/Hp, 204.5 Hp/tonne ","4.2 kg/Nm, 236.4 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.9,2004
"911 Cabriolet (996, facelift 2001)",Carrera 4 3.6 (320 Hp) ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.2,285,"4.7 kg/Hp, 211.9 Hp/tonne ","4.1 kg/Nm, 245 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,All wheel drive (4x4) ,"6 gears, manual transmission ",11.3,2004
"911 Cabriolet (996, facelift 2001)",Carrera 3.6 (320 Hp) Tiptronic S ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.7,280,"4.7 kg/Hp, 212.6 Hp/tonne ","4.1 kg/Nm, 245.8 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.3,2004
"911 Cabriolet (996, facelift 2001)",Carrera 3.6 (320 Hp) ,2001,Internal Combustion engine ,Cabriolet ,4,2,5.2,285,"4.5 kg/Hp, 220.7 Hp/tonne ","3.9 kg/Nm, 255.2 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,Rear wheel drive ,"6 gears, manual transmission ",11.1,2004
"911 Targa (996, facelift 2001)",3.6 (320 Hp) Tiptronic S ,2002,Internal Combustion engine ,Targa ,4,2,5.7,280,"4.7 kg/Hp, 214 Hp/tonne ","4 kg/Nm, 247.5 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,Rear wheel drive ,"5 gears, automatic transmission Tiptronic S ",11.3,2005
"911 Targa (996, facelift 2001)",3.6 (320 Hp) ,2002,Internal Combustion engine ,Targa ,4,2,5.2,285,"4.5 kg/Hp, 222.2 Hp/tonne ","3.9 kg/Nm, 256.9 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,Rear wheel drive ,"6 gears, manual transmission ",11.1,2005
"911 (996, facelift 2001)",Turbo 3.6 (420 Hp) Tiptronic S ,2000,Internal Combustion engine ,Coupe ,4,2,4.8,296,"3.7 kg/Hp, 272.7 Hp/tonne ","2.8 kg/Nm, 363.6 Nm/tonne ",420 Hp @ 6000 rpm. ,116.7,560 Nm @ 2700-4600 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,63,4465,1830,1295,All wheel drive (4x4) ,"5 gears, automatic transmission ",,2005
"911 (996, facelift 2001)",Turbo 3.6 (420 Hp) ,2000,Internal Combustion engine ,Coupe ,4,2,4.2,303,"3.7 kg/Hp, 272.7 Hp/tonne ","2.8 kg/Nm, 363.6 Nm/tonne ",420 Hp @ 6000 rpm. ,116.7,560 Nm @ 2700 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,64,4465,1830,1295,All wheel drive (4x4) ,"6 gears, manual transmission ",,2005
"911 (996, facelift 2001)",GT3 3.6 (380 Hp) ,2003,Internal Combustion engine ,Coupe ,2,2,4.3,306,,,380 Hp @ 7400 rpm. ,105.6,385 Nm @ 5000 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,89,4435,1770,1275,Rear wheel drive ,"6 gears, manual transmission ",,2006
"911 (996, facelift 2001)",GT2 3.6 (483 Hp) ,2001,Internal Combustion engine ,Coupe ,2,2,4.1,315,"2.9 kg/Hp, 340.1 Hp/tonne ","2.2 kg/Nm, 450.7 Nm/tonne ",483 Hp @ 5700 rpm. ,134.2,640 Nm @ 3500-4500 rpm.,"Rear, Longitudinal ",3600,6,Boxer ,89,4450,1830,1275,Rear wheel drive ,"6 gears, manual transmission ",12.9,2006
"911 (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) Tiptronic S ,2001,Internal Combustion engine ,Coupe ,4,2,5.6,275,"4.8 kg/Hp, 206.5 Hp/tonne ","4.2 kg/Nm, 238.7 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4435,1830,1295,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",12.1,2004
"911 (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) ,2001,Internal Combustion engine ,Coupe ,4,2,5.1,280,"4.7 kg/Hp, 214 Hp/tonne ","4 kg/Nm, 247.5 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4435,1830,1295,All wheel drive (4x4) ,"6 gears, manual transmission ",11.4,2004
"911 (996, facelift 2001)",Carrera 4 3.6 (320 Hp) Tiptronic S ,2001,Internal Combustion engine ,Coupe ,4,2,5.5,280,"4.7 kg/Hp, 211.9 Hp/tonne ","4.1 kg/Nm, 245 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,All wheel drive (4x4) ,"5 gears, automatic transmission Tiptronic S ",11.9,2004
"911 (996, facelift 2001)",Carrera 4 3.6 (320 Hp) ,2001,Internal Combustion engine ,Coupe ,4,2,5,285,"4.5 kg/Hp, 223.8 Hp/tonne ","3.9 kg/Nm, 258.7 Nm/tonne ",320 Hp @ 6800 rpm. ,89,370 Nm @ 4250 rpm.,"Rear, Longitudinal ",3596,6,Boxer ,64,4430,1770,1305,All wheel drive (4x4) ,"6 gears, manual transmission ",11.3,2004
